iter	Passed	Remaining
0	2	2167
1	3	1594
2	6	2267
3	9	2413
4	12	2436
5	14	2392
6	17	2453
7	18	2308
8	20	2257
9	22	2215
10	23	2115
11	24	2044
12	26	2036
13	28	2029
14	30	1993
15	32	1977
16	34	1985
17	36	1986
18	38	2005
19	40	1985
20	43	2012
21	47	2105
22	49	2092
23	51	2078
24	53	2078
25	55	2077
26	57	2078
27	60	2103
28	62	2094
29	64	2083
30	66	2070
31	67	2051
32	69	2041
33	71	2026
34	74	2052
35	76	2045
36	77	2026
37	79	2013
38	81	2005
39	83	1996
40	84	1982
41	86	1964
42	88	1977
43	90	1974
44	92	1968
45	93	1946
46	95	1938
47	97	1940
48	99	1936
49	102	1938
50	103	1932
51	105	1927
52	106	1908
53	108	1892
54	109	1876
55	110	1870
56	112	1865
57	113	1849
58	118	1883
59	120	1883
60	122	1892
61	124	1882
62	126	1877
63	127	1863
64	129	1859
65	130	1844
66	133	1857
67	134	1843
68	136	1838
69	138	1836
70	139	1823
71	141	1819
72	142	1803
73	143	1800
74	145	1798
75	147	1796
76	149	1794
77	150	1781
78	152	1777
79	154	1775
80	157	1786
81	159	1787
82	161	1785
83	164	1790
84	166	1789
85	168	1787
86	170	1786
87	172	1784
88	174	1788
89	179	1819
90	181	1811
91	183	1807
92	185	1806
93	186	1797
94	189	1808
95	191	1800
96	192	1792
97	194	1790
98	196	1790
99	199	1794
100	201	1791
101	204	1802
102	207	1807
103	209	1806
104	211	1805
105	215	1814
106	217	1813
107	218	1804
108	220	1802
109	221	1792
110	223	1789
111	225	1786
112	227	1786
113	229	1784
114	232	1787
115	233	1779
116	235	1776
117	237	1772
118	239	1770
119	242	1775
120	244	1777
121	246	1777
122	249	1776
123	251	1775
124	253	1775
125	256	1781
126	257	1773
127	259	1769
128	261	1767
129	262	1756
130	265	1760
131	267	1758
132	270	1763
133	273	1766
134	275	1764
135	277	1761
136	278	1753
137	279	1748
138	281	1744
139	283	1741
140	285	1741
141	288	1740
142	290	1738
143	292	1736
144	293	1733
145	295	1730
146	297	1727
147	299	1723
148	301	1722
149	302	1714
150	304	1712
151	306	1709
152	308	1706
153	310	1704
154	312	1701
155	314	1700
156	316	1697
157	318	1695
158	319	1692
159	322	1690
160	324	1688
161	327	1691
162	328	1687
163	331	1687
164	332	1683
165	335	1684
166	337	1681
167	339	1679
168	342	1682
169	344	1680
170	346	1678
